Date,Inflation,Unemployment
1996Jan,2.4,
1995Dec,2.4,
1995Nov,2.4,
1995Oct,2.4,
1995Sep,2.4,
1995Aug,2.3,
1995Jul,2.4,
1995Jun,2.6,
1995May,2.4,
1995Apr,2.6,
1995Mar,2.5,
1995Feb,2.4,
1995Jan,2.4,
1994Dec,2.6,
1994Nov,2.5,
1994Oct,2.6,
1994Sep,2.7,
1994Aug,2.7,
1994Jul,2.6,
1994Jun,2.7,
1994May,2.8,
1994Apr,2.7,
1994Mar,2.8,
1994Feb,2.9,
1994Jan,2.9,
1993Dec,3.2,
1993Nov,3.2,
1993Oct,3.3,
1993Sep,3.3,
1993Aug,3.3,
1993Jul,3.3,
1993Jun,3.1,
1993May,3.1,
1993Apr,3.2,
1993Mar,3.2,
1993Feb,3.4,
1993Jan,3.4,
1992Dec,3.2,
1992Nov,3.1,
1992Oct,3.2,
1992Sep,3.3,
1992Aug,3.3,
1992Jul,3.3,
1992Jun,3.9,
1992May,4,
1992Apr,4.2,
1992Mar,4.3,
1992Feb,3.8,
1992Jan,3.9,
1991Dec,4.1,
1991Nov,4.1,
1991Oct,3.7,
1991Sep,3.9,
1991Aug,4.5,
1991Jul,5,
1991Jun,4.3,
1991May,4.1,
1991Apr,3.8,
1991Mar,3.9,
1991Feb,4.1,
1991Jan,3.9,
