isocode,year,CKON,GKON,IKON,EXPK,IMPK,CCUR,GCUR,ICUR,EXPC,IMPC,XRAT,POP
MHL,yr1959,,,,,,,,,,,,
MHL,yr1960,,,,,,,,,,,,
MHL,yr1961,,,,,,,,,,,,
MHL,yr1962,,,,,,,,,,,,
MHL,yr1963,,,,,,,,,,,,
MHL,yr1964,,,,,,,,,,,,
MHL,yr1965,,,,,,,,,,,,
MHL,yr1966,,,,,,,,,,,,
MHL,yr1967,,,,,,,,,,,,
MHL,yr1968,,,,,,,,,,,,
MHL,yr1969,,,,,,,,,,,,
MHL,yr1970,,,,,,,,,,,,
MHL,yr1971,,,,,,,,,,,,
MHL,yr1972,,,,,,,,,,,,
MHL,yr1973,,,,,,,,,,,,
MHL,yr1974,,,,,,,,,,,,
MHL,yr1975,,,,,,,,,,,,
MHL,yr1976,,,,,,,,,,,,
MHL,yr1977,,,,,,,,,,,,
MHL,yr1978,,,,,,,,,,,,
MHL,yr1979,,,,,,,,,,,,
MHL,yr1980,,,,,,,,,,,,
MHL,yr1981,,,,,,,,,,,,
MHL,yr1982,,,,,,,,,,,,
MHL,yr1983,,,,,,,,,,,,
MHL,yr1984,,,,,,,,,,,,
MHL,yr1985,,,,,,,,,,,,
MHL,yr1986,,,,,,,,,,,,
MHL,yr1987,,,,,,,,,,,,
MHL,yr1988,,,,,,,,,,,,
MHL,yr1989,,,,,,,,,,,,
MHL,yr1990,,,,,,,,,,,,
MHL,yr1991,,,,,,,,,,,,
MHL,yr1992,,,,,,,,,,,,
MHL,yr1993,,,,,,,,,,,,
MHL,yr1994,,,,,,,,,,,,
MHL,yr1995,,,,,,,,,,,,
MHL,yr1996,,,,,,,,,,,,58000
MHL,yr1997,,,,,,,,,12700000,61000000,,
MHL,yr1998,,,,,,,,,5800000,67300000,,
MHL,yr1999,,,,,,,,,7700000,68900000,,
MHL,yr2000,,,,,,,,,,,,52000
MKD,yr1950,,,,,,,,,,,,
MKD,yr1951,,,,,,,,,,,,
MKD,yr1952,,,,,,,,,,,,
MKD,yr1953,,,,,,,,,,,,
MKD,yr1954,,,,,,,,,,,,
MKD,yr1955,,,,,,,,,,,,
MKD,yr1956,,,,,,,,,,,,
MKD,yr1957,,,,,,,,,,,,
